id;start_date;end_date;language
1;2021-06-18T11:20:00;2021-06-18T09:10:15;ENGLISH
2;2021-06-17T20:47:35;2021-06-18T06:13:04;PORTUGUESE
3;2021-06-18T06:43:47;2021-06-17T18:48:55;SPANISH
4;2021-06-18T11:14:36;2021-06-17T16:40:55;PORTUGUESE
5;2021-06-18T13:30:59;2021-06-17T21:49:57;ENGLISH
6;2021-06-17T23:01:42;2021-06-18T13:02:02;SPANISH
7;2021-06-18T07:05:30;2021-06-17T17:39:39;PORTUGUESE
8;2021-06-17T21:31:23;2021-06-17T18:07:12;PORTUGUESE
9;2021-06-17T22:23:01;2021-06-18T09:54:27;PORTUGUESE
10;2021-06-17T18:19:59;2021-06-18T11:17:28;PORTUGUESE
