id;journey_name;tolerance;start_journey;end_journey;day_out;start_date;end_date
1;extend;17062;2021-06-18T08:47:33;2021-06-18T17:27:57;2021-06-18;2021-06-19;2021-06-18
2;system;84256;2021-06-18T22:37:01;2021-06-18T22:35:42;2021-06-18;2021-06-18;2021-06-18
3;HDD protocol Loan;86894;2021-06-18T13:20:53;2021-06-18T13:29:59;2021-06-18;2021-06-18;2021-06-18
4;Sabonete wireless Pound;5191;2021-06-18T17:06:24;2021-06-19T00:55:35;2021-06-18;2021-06-18;2021-06-19
5;dourado Sem Dynamic;23836;2021-06-18T05:36:11;2021-06-18T14:10:00;2021-06-19;2021-06-18;2021-06-18
6;Guiana Checking Fiji;92264;2021-06-18T01:26:41;2021-06-18T09:06:51;2021-06-18;2021-06-18;2021-06-18
7;client-server Pará transmit;72223;2021-06-18T04:45:38;2021-06-18T19:59:16;2021-06-19;2021-06-18;2021-06-19
8;quantify Integrated;82552;2021-06-19T00:21:58;2021-06-18T23:56:13;2021-06-18;2021-06-19;2021-06-18
9;Home;61664;2021-06-18T21:33:19;2021-06-18T09:35:40;2021-06-18;2021-06-18;2021-06-18
10;bypassing reboot Response;36369;2021-06-18T01:55:18;2021-06-18T02:39:13;2021-06-18;2021-06-18;2021-06-18
