id;entry;leaving_work;extra_time;extra_time_2;entry_rest;return_rest;day_week;day
1;2021-06-18;2021-06-18T10:14:54;2021-06-18T07:59:09;2021-06-18T19:37:41;2021-06-18T21:25:34;2021-06-18T23:54:57;2021-06-18;QUINTA
2;2021-06-19;2021-06-18T20:52:01;2021-06-18T03:08:43;2021-06-18T04:16:04;2021-06-18T03:01:53;2021-06-18T15:32:47;2021-06-18;QUINTA
3;2021-06-18;2021-06-18T16:58:14;2021-06-18T03:01:50;2021-06-18T18:15:01;2021-06-18T17:19:34;2021-06-18T22:32:04;2021-06-19;QUINTA
4;2021-06-18;2021-06-18T05:46:14;2021-06-18T05:09:46;2021-06-18T22:30:26;2021-06-18T10:59:28;2021-06-18T01:53:30;2021-06-18;SEGUNDA
5;2021-06-18;2021-06-18T19:58:20;2021-06-18T17:48:48;2021-06-18T06:30:50;2021-06-18T11:09:49;2021-06-18T03:41:24;2021-06-18;TERCA
6;2021-06-18;2021-06-18T21:33:22;2021-06-18T01:22:59;2021-06-18T10:41:27;2021-06-18T14:00:45;2021-06-18T06:52:14;2021-06-18;SEXTA
7;2021-06-18;2021-06-18T11:26:21;2021-06-18T17:39:11;2021-06-18T14:19:01;2021-06-18T11:41:53;2021-06-18T20:17:48;2021-06-18;DOMINGO
8;2021-06-18;2021-06-18T01:12:44;2021-06-18T01:09:54;2021-06-18T21:25:59;2021-06-18T12:46:30;2021-06-18T12:02:10;2021-06-18;SABADO
9;2021-06-18;2021-06-18T16:59:53;2021-06-18T11:24:39;2021-06-18T01:57:19;2021-06-18T16:17:16;2021-06-18T17:21:26;2021-06-18;TERCA
10;2021-06-18;2021-06-18T20:17:18;2021-06-18T04:45:05;2021-06-18T04:16:50;2021-06-18T13:47:57;2021-06-18T17:46:13;2021-06-18;QUARTA
